State and other areas2,Total Area (Sq. Km),"Internal Point -
Latitude Value","Internal Point -
Longitude Value"
Alabama,135767,32.7396323,-86.8434593
Alaska,1723337,63.346191,-152.8370679
Arizona,295234,34.2099643,-111.602401
Arkansas,137732,34.8955256,-92.4446262
California,423967,37.148573,-119.5406515
Colorado,269601,38.9935752,-105.5077737
Connecticut,14357,41.5797842,-72.7466666
Delaware,6446,38.9935501,-75.4473739
District of Columbia,177,38.9041485,-77.0170942
Florida,170312,28.4574302,-82.4091478
Georgia,153910,32.629384,-83.4232125
Hawaii,28313,19.809767,-155.5061027
Idaho,216443,44.3020948,-114.5956254
Illinois,149995,40.1028754,-89.1526108
Indiana,94326,39.9030256,-86.2839503
Iowa,145746,42.0700243,-93.4933473
Kansas,213100,38.4985464,-98.3834298
Kentucky,104656,37.5336807,-85.2929841
Louisiana,135659,30.8577705,-91.803273
Maine,91633,45.3906022,-68.6574869
Maryland,32131,38.9466584,-76.6744939
Massachusetts,27336,42.1565196,-71.4895915
Michigan,250487,44.8410835,-85.6593197
Minnesota,225163,46.3161343,-94.1994801
Mississippi,125438,32.6864655,-89.6561493
Missouri,180540,38.35075,-92.4567826
Montana,380831,47.0511771,-109.6348174
Nebraska,200330,41.5438105,-99.8123253
Nevada,286380,39.3310928,-116.6151469
New Hampshire,24214,43.6708595,-71.5811278
New Jersey,22591,40.1072744,-74.6652012
New Mexico,314917,34.4391265,-106.1261511
New York,141297,42.9133974,-75.5962723
North Carolina,139391,35.53971,-79.1308636
North Dakota,183108,47.4569538,-100.4619304
Ohio,116098,40.4149297,-82.7119975
Oklahoma,181037,35.5894185,-97.4868683
Oregon,254799,43.9715225,-120.6226269
Pennsylvania,119280,40.9042486,-77.8280624
Rhode Island,4001,41.5978358,-71.5252895
South Carolina,82933,33.8741769,-80.8542699
South Dakota,199729,44.4467957,-100.2381762
Tennessee,109153,35.8585639,-86.3493573
Texas,695662,31.4347032,-99.2818238
Utah,219882,39.3349735,-111.6563633
Vermont,24906,44.0605475,-72.673354
Virginia,110787,37.5222512,-78.6681938
Washington,184661,47.4162296,-120.5996231
West Virginia,62756,38.6472854,-80.6183274
Wisconsin,169635,44.628484,-89.7119299
Wyoming,253335,42.9918024,-107.5419255
Puerto Rico,13791,18.217648,-66.4107992
Island Areas:5,9998,,
American Samoa,1505,-14.2638166,-170.6620902
Guam,1478,13.4383,144.7729285
Northern Mariana Islands,5117,14.9367835,145.601021
Virgin Islands,1898,18.3267485,-64.9712501
